date,day,month,precipMM,humidity,maxtempC,mintempC,DewPointC,WindGustKmph,cloudcover,pressure,visibility,windspeedKmph
2008-12-11,11,12,0.0,55.708333333333336,30,18,14.458333333333334,8.625,23.958333333333332,1012.625,10.0,4.291666666666667
2008-12-12,12,12,0.0,57.791666666666664,30,21,16.041666666666668,9.083333333333334,16.833333333333332,1011.7083333333334,10.0,4.333333333333333
2008-12-13,13,12,0.0,52.875,30,21,14.75,12.625,9.25,1013.5416666666666,10.0,6.833333333333333
2008-12-14,14,12,0.0,51.5,30,19,13.458333333333334,14.833333333333334,3.3333333333333335,1014.25,10.0,7.458333333333333
2008-12-15,15,12,0.0,50.625,30,18,12.916666666666666,16.083333333333332,5.666666666666667,1013.4583333333334,10.0,7.75
2008-12-16,16,12,0.0,51.333333333333336,30,18,13.458333333333334,13.791666666666666,2.9583333333333335,1013.2916666666666,10.0,7.166666666666667
2008-12-17,17,12,0.0,50.458333333333336,29,19,12.875,17.458333333333332,6.583333333333333,1014.2083333333334,10.0,7.958333333333333
2008-12-18,18,12,0.0,37.666666666666664,29,18,9.0,20.708333333333332,6.75,1014.1666666666666,10.0,9.708333333333334
2008-12-19,19,12,0.0,41.375,30,17,9.416666666666666,14.625,26.666666666666668,1013.375,10.0,6.083333333333333
2008-12-20,20,12,0.7,50.833333333333336,28,20,12.5,11.375,42.916666666666664,1013.75,10.0,5.0
2008-12-21,21,12,0.0,41.833333333333336,30,19,11.416666666666666,12.416666666666666,15.333333333333334,1012.9583333333334,10.0,5.5
2008-12-22,22,12,0.0,38.625,30,20,9.875,12.958333333333334,15.208333333333334,1013.7083333333334,10.0,6.708333333333333
2008-12-23,23,12,0.0,43.166666666666664,30,19,10.625,11.541666666666666,16.25,1014.4166666666666,10.0,4.958333333333333
2008-12-24,24,12,0.0,41.625,32,19,11.208333333333334,11.083333333333334,1.75,1014.5,10.0,3.5
2008-12-25,25,12,0.0,43.041666666666664,31,19,10.375,10.333333333333334,2.8333333333333335,1014.2916666666666,10.0,3.875
2008-12-26,26,12,0.0,42.041666666666664,32,18,9.416666666666666,9.5,0.5416666666666666,1013.7083333333334,10.0,4.791666666666667
2008-12-27,27,12,0.0,35.125,31,17,6.833333333333333,9.958333333333334,0.0,1013.625,10.0,4.791666666666667
2008-12-28,28,12,0.0,31.375,31,16,4.875,8.416666666666666,0.0,1013.5416666666666,10.0,3.2916666666666665
2008-12-29,29,12,0.0,31.333333333333332,31,16,4.166666666666667,9.666666666666666,0.0,1013.3333333333334,10.0,3.9583333333333335
2008-12-30,30,12,0.0,33.458333333333336,31,17,5.833333333333333,10.208333333333334,0.0,1014.0416666666666,10.0,4.125
2008-12-31,31,12,0.0,34.416666666666664,32,17,6.333333333333333,8.375,0.0,1013.375,10.0,3.0416666666666665
2009-01-01,1,1,0.0,37.875,31,17,7.541666666666667,11.083333333333334,0.625,1012.7916666666666,10.0,4.5
2009-01-02,2,1,0.0,44.0,30,17,9.291666666666666,11.833333333333334,3.8333333333333335,1013.75,10.0,5.458333333333333
2009-01-03,3,1,0.0,47.791666666666664,30,17,10.666666666666666,9.375,3.7916666666666665,1014.7083333333334,10.0,3.75
2009-01-04,4,1,0.0,52.791666666666664,30,15,12.083333333333334,8.125,5.5,1013.5833333333334,10.0,2.9166666666666665
2009-01-05,5,1,0.0,51.833333333333336,30,15,11.916666666666666,10.5,7.125,1011.7916666666666,10.0,4.791666666666667
2009-01-06,6,1,0.0,47.583333333333336,29,16,10.583333333333334,10.0,2.0,1011.8333333333334,10.0,5.25
2009-01-07,7,1,0.0,40.125,28,16,8.291666666666666,10.083333333333334,26.416666666666668,1012.6666666666666,10.0,4.208333333333333
2009-01-08,8,1,0.0,42.541666666666664,29,19,10.958333333333334,10.625,23.875,1014.4583333333334,10.0,5.416666666666667
2009-01-09,9,1,0.0,54.625,28,19,13.416666666666666,10.208333333333334,29.458333333333332,1015.625,10.0,5.208333333333333
2009-01-10,10,1,0.0,54.708333333333336,30,19,13.958333333333334,10.0,29.25,1014.9583333333334,8.75,4.958333333333333
2009-01-11,11,1,0.0,44.666666666666664,30,20,12.583333333333334,10.208333333333334,25.791666666666668,1015.0,10.0,4.333333333333333
2009-01-12,12,1,0.0,43.208333333333336,31,20,11.125,9.875,15.708333333333334,1016.9166666666666,10.0,3.8333333333333335
